                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.96074,                 1.9818,                0.90947,                0.86135,                0.74789,                0.66391,                0.74401,                 0.5725,                0.65155,                0.53025,                0.59002,                0.32389,                0.83072,                 1.9976,                0.86699,                0.84668,             0.00099751,             0.00099751,             0.00099751
                     64,                0.98171,                 2.0089,                0.90467,                0.86409,                0.74792,                0.63263,                0.73031,                0.56667,                0.64422,                0.52119,                0.58579,                0.32336,                0.81711,                  2.009,                0.89659,                0.84692,             0.00099044,             0.00099044,             0.00099044
                     65,                0.95845,                 2.0551,                0.91102,                0.85778,                0.75817,                0.65992,                0.74526,                0.57148,                0.68159,                0.53956,                0.60603,                0.33075,                0.83968,                  2.025,                0.89486,                0.84615,             0.00098337,             0.00098337,             0.00098337
                     66,                 1.0147,                 2.0058,                0.91111,                0.86267,                0.75885,                0.66003,                0.74509,                0.55711,                0.67375,                 0.5226,                0.59144,                0.31144,                0.89136,                  1.997,                0.88541,                0.84913,             0.00097629,             0.00097629,             0.00097629
                     67,                0.94927,                 1.9452,                0.89383,                0.85596,                0.74756,                0.64516,                 0.7335,                0.56846,                0.64637,                0.51442,                  0.582,                0.32926,                0.81347,                 1.9636,                0.87399,                0.84583,             0.00096922,             0.00096922,             0.00096922
                     68,                0.97438,                 1.9732,                0.89041,                0.86301,                0.75757,                0.68632,                0.76064,                0.59074,                0.64702,                 0.5533,                0.60303,                0.33822,                0.79655,                 2.0062,                0.86637,                0.84297,             0.00096215,             0.00096215,             0.00096215
                     69,                 1.0054,                 1.9669,                0.89667,                0.86426,                0.76981,                0.66471,                0.75494,                0.55885,                0.66351,                0.53674,                0.59292,                0.30365,                0.91524,                  2.055,                0.88412,                0.85249,             0.00095507,             0.00095507,             0.00095507
                     70,                0.97139,                 1.9527,                0.89678,                0.85895,                0.77848,                0.66511,                0.75904,                0.57299,                0.67164,                 0.5377,                0.59432,                0.30725,                 0.8545,                 1.9622,                0.86124,                0.84807,               0.000948,               0.000948,               0.000948
                     71,                0.95127,                 1.9215,                0.88428,                0.86254,                 0.7693,                0.67267,                0.75486,                0.59039,                0.66276,                0.54603,                0.60703,                0.35224,                0.81493,                 1.9559,                0.85639,                0.84674,             0.00094093,             0.00094093,             0.00094093
                     72,                0.96982,                 2.0034,                0.89542,                0.86744,                0.76446,                0.68331,                0.76541,                0.59818,                0.65508,                 0.5571,                0.61312,                0.34601,                0.79426,                 1.9427,                0.85695,                0.84421,             0.00093385,             0.00093385,             0.00093385
                     73,                0.99496,                 1.9377,                0.88822,                0.86294,                0.74798,                0.67134,                0.75028,                0.54581,                0.64271,                0.54519,                0.59304,                0.30438,                0.96551,                 2.1121,                0.91874,                0.86016,             0.00092678,             0.00092678,             0.00092678
                     74,                0.99724,                 1.9485,                0.89819,                0.86339,                0.75757,                 0.6835,                0.76089,                0.56819,                0.67068,                0.54564,                0.60449,                0.31913,                0.89218,                 2.0825,                0.90562,                0.84976,              0.0009197,              0.0009197,              0.0009197
                     75,                 1.0087,                 1.9551,                0.90179,                0.86463,                0.77318,                0.66661,                0.75609,                0.59434,                0.67736,                0.54663,                0.61285,                0.33764,                0.78534,                 1.9174,                0.85312,                0.84128,             0.00091263,             0.00091263,             0.00091263
                     76,                 1.0159,                 1.9554,                0.89496,                0.86264,                0.77222,                0.66722,                0.75686,                0.59035,                0.67633,                0.53136,                  0.603,                0.32726,                0.79988,                 1.9159,                0.84784,                0.84345,             0.00090556,             0.00090556,             0.00090556
                     77,                0.93962,                 1.8961,                0.87868,                0.85692,                0.77828,                0.69876,                0.78098,                0.59436,                0.67745,                0.56788,                0.62678,                0.33767,                0.86071,                 1.9799,                0.83871,                0.84622,             0.00089848,             0.00089848,             0.00089848
                     78,                 1.0256,                 2.0254,                0.88853,                 0.8608,                0.76904,                0.69675,                0.77154,                0.57605,                0.65798,                0.56486,                0.61561,                0.32161,                 0.9069,                 2.0053,                0.86486,                0.85231,             0.00089141,             0.00089141,             0.00089141
                     79,                0.96238,                 1.9504,                0.87945,                0.86248,                0.76866,                0.70006,                0.77212,                0.60364,                0.65907,                0.56437,                0.61556,                0.33705,                0.78734,                 1.9577,                 0.8382,                 0.8443,             0.00088434,             0.00088434,             0.00088434
                     80,                0.97587,                 1.9101,                0.86899,                0.86248,                0.77737,                0.68967,                0.77493,                0.61099,                0.67632,                0.55958,                0.61946,                 0.3502,                0.77091,                 1.9356,                0.82833,                 0.8407,             0.00087726,             0.00087726,             0.00087726
                     81,                0.94449,                 1.9186,                0.86196,                0.85763,                0.75572,                0.65555,                0.74058,                0.56459,                 0.6472,                0.52448,                0.58544,                0.30952,                0.86173,                 1.9842,                0.87425,                0.85422,             0.00087019,             0.00087019,             0.00087019
                     82,                0.95639,                 1.8738,                0.85927,                0.85446,                0.75381,                0.66934,                0.74878,                0.56603,                0.64699,                0.52955,                0.59005,                0.30558,                0.88331,                 1.9945,                0.86186,                0.85286,             0.00086312,             0.00086312,             0.00086312
                     83,                0.92805,                 1.8664,                0.85667,                 0.8588,                0.75613,                0.68241,                0.75891,                0.59336,                  0.669,                0.54091,                0.60579,                0.33494,                0.79208,                  1.973,                0.83326,                 0.8432,             0.00085604,             0.00085604,             0.00085604
                     84,                0.94622,                 1.9529,                0.86096,                0.85797,                0.76605,                  0.704,                0.77526,                0.59906,                 0.6517,                0.55709,                0.61123,                0.32779,                0.80132,                 1.9312,                0.82401,                0.84615,             0.00084897,             0.00084897,             0.00084897
                     85,                0.90691,                 1.8719,                0.85964,                 0.8609,                0.76327,                0.70691,                0.77799,                0.59447,                0.66344,                0.55955,                0.61432,                0.32347,                0.82384,                 1.9746,                0.82906,                0.84628,              0.0008419,              0.0008419,              0.0008419
                     86,                0.93336,                 1.8666,                0.84624,                0.85395,                0.76209,                0.69212,                 0.7724,                0.59606,                0.66709,                0.55085,                0.60859,                0.32756,                0.81399,                 1.9759,                0.84203,                0.84455,             0.00083482,             0.00083482,             0.00083482
                     87,                0.98114,                  2.014,                0.87765,                0.85478,                 0.7737,                0.70697,                0.78304,                0.60963,                0.68769,                0.55912,                0.62379,                0.34307,                0.78957,                 1.9529,                0.81718,                0.84141,             0.00082775,             0.00082775,             0.00082775
                     88,                0.88136,                 1.9092,                0.84569,                0.85471,                0.77434,                0.71361,                0.78251,                0.61284,                0.66141,                0.57646,                0.62712,                0.34998,                0.78572,                 1.9372,                 0.8074,                0.84123,             0.00082067,             0.00082067,             0.00082067
                     89,                 0.9112,                 1.8896,                0.84164,                0.85338,                0.78795,                0.68839,                0.77759,                0.60051,                0.67357,                0.55648,                 0.6153,                0.32909,                0.81433,                 1.9243,                0.81644,                0.84647,              0.0008136,              0.0008136,              0.0008136
                     90,                0.91222,                 1.7955,                0.81531,                0.85417,                0.75799,                0.68467,                0.76513,                0.59026,                0.67043,                0.54427,                0.60721,                0.32733,                0.81161,                 2.0225,                0.84676,                0.84673,             0.00080653,             0.00080653,             0.00080653
                     91,                0.92819,                  1.919,                0.85675,                0.86058,                0.77597,                0.69057,                0.77645,                0.60274,                0.67133,                0.55558,                0.61433,                0.33453,                0.77953,                 1.9244,                0.82924,                0.83942,             0.00079945,             0.00079945,             0.00079945
                     92,                0.92793,                 1.9105,                0.84809,                0.85437,                0.78191,                0.70359,                0.78223,                0.59914,                0.66382,                0.55305,                0.61156,                0.32365,                0.80998,                 1.9193,                0.83033,                0.84167,             0.00079238,             0.00079238,             0.00079238
                     93,                 0.9817,                 1.9644,                0.85929,                0.85529,                0.76105,                 0.6978,                 0.7745,                0.60297,                0.65913,                0.55695,                0.61742,                 0.3391,                0.78731,                 2.0041,                 0.8454,                0.84088,             0.00078531,             0.00078531,             0.00078531
                     94,                0.89418,                 1.8587,                0.82356,                0.85361,                0.76353,                0.69997,                 0.7763,                0.60546,                0.66626,                0.54661,                0.61151,                0.33446,                0.78451,                 2.0033,                0.82999,                0.84055,             0.00077823,             0.00077823,             0.00077823
                     95,                0.94131,                  1.855,                0.83402,                0.85753,                 0.7705,                0.71169,                0.78395,                0.59733,                0.65902,                0.56244,                0.61238,                0.32457,                0.82789,                 1.9541,                0.81917,                0.84455,             0.00077116,             0.00077116,             0.00077116
                     96,                0.89051,                 1.8255,                0.81513,                0.84863,                0.75785,                0.71918,                0.78247,                0.60945,                0.67035,                0.55731,                0.61463,                0.33116,                0.78479,                 1.9218,                0.80972,                0.84182,             0.00076409,             0.00076409,             0.00076409
                     97,                0.96547,                 1.8577,                0.82571,                0.85735,                0.76882,                0.70063,                0.77504,                0.60594,                0.67016,                0.53905,                0.60371,                0.32413,                0.78817,                 1.9315,                0.81682,                0.84349,             0.00075701,             0.00075701,             0.00075701
                     98,                0.89103,                 1.8802,                0.82972,                0.84914,                 0.7813,                0.70259,                0.77692,                0.59971,                0.66811,                0.55878,                0.61019,                0.32808,                0.80819,                 1.9715,                0.82527,                0.84327,             0.00074994,             0.00074994,             0.00074994
                     99,                 0.9109,                 1.8676,                0.82131,                0.85143,                0.78864,                0.69944,                0.78248,                 0.6118,                0.67898,                0.56032,                0.61951,                0.33877,                0.78417,                  1.982,                0.82122,                0.84122,             0.00074287,             0.00074287,             0.00074287
                    100,                0.95902,                 1.8673,                0.83804,                0.85311,                0.78442,                0.70758,                0.78613,                0.61851,                0.68065,                0.55323,                0.62166,                 0.3377,                0.76969,                 1.8951,                0.79349,                0.84081,             0.00073579,             0.00073579,             0.00073579
